sent
1	Кстати	0 кстати CONJ Prnt
14160	Управление	0 управление NOUN neut inan sing nomn
14161	проектами	0 проект NOUN masc inan plur ablt
14162	»	0 » PNCT
14163	.	0 . PNCT
/sent
sent
14164	Я	0 я ADJF Apro Subx sing 1per nomn
14165	,	0 , PNCT
14165	например	0 например CONJ Prnt
14166	,	0 , PNCT
14166	точно	0 точно PRCL
14167	не	0 не PRCL
14168	смогу	0 смочь VERB perf intr actv sing futr 1per indc
14169	,	0 , PNCT
14169	хотя	0 хотя CONJ
14170	и	0 и CONJ
14171	стараюсь	0 стараться VERB impf intr sing pres 1per indc
14172	снимать	0 снимать INFN impf tran actv
14173	для	0 для PREP
14174	молодых	0 молодой ADJF plur gent
14175	(	0 ( PNCT
14175	до	0 до PREP
14176	тридцати	0 тридцать NUMR gent
14177	пяти	0 пять NUMR gent
14178	лет	0 год NOUN masc inan plur gent
14179	)	0 ) PNCT
14179	людей	0 человек NOUN masc anim plur gent
14180	.	0 . PNCT
/sent
sent
14180	4	0 4 NUMR
14181	.	0 . PNCT
/sent
sent
14181	Как	0 как CONJ
14182	ни	0 ни PRCL
14183	мало	0 мало NUMR nomn
14184	свершений	0 свершение NOUN neut inan plur gent
14185	и	0 и CONJ
14186	событий	0 событие NOUN neut inan plur gent
14187	среди	0 среди PREP
14188	спектаклей	0 спектакль NOUN masc inan plur gent
14189	для	0 для PREP
14190	самой	0 сам ADJF Apro femn sing gent
14191	юной	0 юный ADJF femn sing gent
14192	аудитории	0 аудитория NOUN femn inan sing gent
14193	,	0 , PNCT
14193	но	0 но CONJ
14194	они	0 они ADJF Apro Subx plur 3per nomn
14195	иногда	0 иногда ADVB
14196	случаются	0 случаться VERB impf intr plur pres 3per indc
14197	.	0 . PNCT
/sent
sent
14197	Мы	0 мы ADJF Apro Subx plur 1per nomn
14198	представляем	0 представлять VERB impf tran plur actv pres 1per indc
14199	вам	0 вы ADJF Apro Subx plur 2per datv
14200	фрагменты	0 фрагмент NOUN masc inan plur accs
14201	из	0 из PREP
14202	статьи	0 статья NOUN femn inan sing gent
14203	,	0 , PNCT
14203	которая	0 который ADJF Apro femn sing nomn
14204	будет	0 быть VERB impf intr actv sing futr 3per indc
14205	опубликована	0 опубликовать PRTS perf femn sing pssv past
14206	полностью	0 полностью ADVB
14207	в	0 в PREP
14208	«	0 « PNCT
14208	Русском	0 русский ADJF masc sing loct
14209	историческом	0 исторический ADJF masc sing loct
14210	журнале	0 журнал NOUN masc inan sing loct
14211	»	0 » PNCT
14212	.	0 . PNCT
/sent
sent
14213	Дайте	0 дать VERB perf tran plur actv impr excl
14214	выплакаться	0 выплакаться INFN perf intr
14215	мне	0 я ADJF Apro Subx sing 1per datv
/sent
sent
14216	Merck	0 Merck UNKN
14217	возглавляет	0 возглавлять VERB impf tran sing actv pres 3per indc
14218	гонку	0 гонка NOUN femn inan sing accs
/sent
sent
14219	18	0 18 NUMR
14220	апреля	0 апрель NOUN masc inan sing gent
14221	в	0 в PREP
14222	Балашове	0 Балашово NOUN neut inan sing loct
14223	состоялось	0 состояться VERB perf intr neut sing past indc
14224	совещание	0 совещание NOUN neut inan sing nomn
14225	по	0 по PREP
14226	проблемам	0 проблема NOUN femn inan plur datv
14227	,	0 , PNCT
14227	возникшим	0 возникнуть PRTF perf intr actv plur datv past
14228	в	0 в PREP
14229	малом	0 малый ADJF masc sing loct
14230	бизнесе	0 бизнес NOUN masc inan sing loct
14231	в	0 в PREP
14232	связи	0 связь NOUN femn inan sing loc2
14233	с	0 с PREP
14234	действием	0 действие NOUN neut inan sing ablt
14235	единого	0 единый ADJF masc sing gent
14236	налога	0 налог NOUN masc inan sing gent
14237	на	0 на PREP
14238	вменённый	0 вменить PRTF perf tran masc sing accs pssv past
14239	доход	0 доход NOUN masc inan sing accs
14240	.	0 . PNCT
/sent
sent
14240	Из	0 из PREP
14241	Екатеринбурга	0 Екатеринбург NOUN masc inan sing gent
14242	получено	0 получить PRTS perf neut sing pssv past
14243	сообщение	0 сообщение NOUN neut inan sing nomn
14244	,	0 , PNCT
14244	что	0 что CONJ
14245	Свердловское	0 свердловский ADJF neut sing nomn
14246	управление	0 управление NOUN neut inan sing nomn
14247	Министерства	0 министерство NOUN neut inan sing gent
14248	по	0 по PREP
14249	антимонопольной	0 антимонопольный ADJF femn sing datv
14250	политике	0 политика NOUN femn inan sing datv
14251	,	0 , PNCT
14251	рассмотрев	0 рассмотреть GRND perf tran actv past
14252	по	0 по PREP
14253	представлению	0 представление NOUN neut inan sing datv
14254	Союза	0 союз NOUN masc inan sing gent
14255	издателей	0 издатель NOUN masc anim plur gent
14256	и	0 и CONJ
14257	распространителей	0 распространитель NOUN masc anim plur gent
14258	печатной	0 печатный ADJF femn sing gent
14259	продукции	0 продукция NOUN femn inan sing gent
14260	,	0 , PNCT
14260	издательского	0 издательский ADJF masc sing gent
14261	дома	0 дом NOUN masc inan sing gent
14262	"	0 " PNCT
14262	Ведомости	0 ведомость NOUN femn inan plur nomn
14263	"	0 " PNCT
14263	и	0 и CONJ
14264	ряда	0 ряд NOUN masc inan sing gent
14265	других	0 другой ADJF Apro plur gent
14266	печатных	0 печатный ADJF plur gent
14267	СМИ	0 сми NOUN Fixd plur gent
14268	решение	0 решение NOUN neut inan sing accs
14269	главы	0 глава NOUN masc anim sing gent
14270	г	0 город NOUN masc inan sing gent
14271	.	0 . PNCT
14271	Екатеринбурга	0 Екатеринбург NOUN masc inan sing gent
14272	о	0 о PREP
14273	ликвидации	0 ликвидация NOUN femn inan sing loct
14274	муниципального	0 муниципальный ADJF neut sing gent
14275	предприятия	0 предприятие NOUN neut inan sing gent
14276	"	0 " PNCT
14276	Роспечать	0 Роспечать NOUN femn inan sing nomn
14277	"	0 " PNCT
14278	,	0 , PNCT
14279	признало	0 признать VERB perf tran neut sing actv past indc
14280	его	0 оно ADJF Apro Subx neut sing 3per accs
14281	противоречащим	0 противоречащий ADJF neut sing ablt
14282	действующему	0 действующий ADJF neut sing datv
14283	законодательству	0 законодательство NOUN neut inan sing datv
14284	.	0 . PNCT
/sent
sent
14284	Снижение	0 снижение NOUN neut inan sing nomn
14285	активности	0 активность NOUN femn inan sing gent
14286	продолжалось	0 продолжаться VERB impf intr neut sing past indc
14287	в	0 в PREP
14288	среднем	0 средний ADJF neut sing loct
14289	до	0 до PREP
14290	3	0 3-й ADJF Anum plur gent
14291	-	0 - PNCT
14291	4-х	0 4-й ADJF Anum plur gent
14292	суток	0 сутки NOUN plur gent
14293	с	0 с PREP
14294	момента	0 момент NOUN masc inan sing gent
14295	инфицирования	0 инфицирование NOUN neut inan sing gent
14296	,	0 , PNCT
14296	т	0 то ADJF Apro Subx neut sing datv
14297	.	0 . PNCT
14297	е	0 быть VERB impf intr actv sing pres 3per indc
14298	.	0 . PNCT
14298	в	0 в PREP
14299	течение	0 течение NOUN neut inan sing accs
14300	инкубационного	0 инкубационный ADJF masc sing gent
14301	периода	0 период NOUN masc inan sing gent
14302	,	0 , PNCT
14302	при	0 при PREP
14303	отсутствии	0 отсутствие NOUN neut inan sing loct
14304	каких-либо	0 какой-либо ADJF Apro plur gent
14305	внешних	0 внешний ADJF plur gent
14306	проявлений	0 проявление NOUN neut inan plur gent
14307	заболевания	0 заболевание NOUN neut inan sing gent
14308	.	0 . PNCT
/sent
sent
14308	ГРАН	0 ГРАН UNKN
14309	ТУРИЗМО	0 ТУРИЗМО UNKN
/sent
sent
14310	Вот	0 вот PRCL
14311	вам	0 вы ADJF Apro Subx plur 2per datv
14312	и	0 и CONJ
14313	вполне	0 вполне ADVB
14314	разумное	0 разумный ADJF neut sing nomn
14315	применение	0 применение NOUN neut inan sing nomn
14316	остаточного	0 остаточный ADJF masc sing gent
14317	принципа	0 принцип NOUN masc inan sing gent
14318	формирования	0 формирование NOUN neut inan sing gent
14319	рекламного	0 рекламный ADJF masc sing gent
14320	бюджета	0 бюджет NOUN masc inan sing gent
14321	.	0 . PNCT
/sent
sent
14321	При	0 при PREP
14322	лечении	0 лечение NOUN neut inan sing loct
14323	контактных	0 контактный ADJF plur gent
14324	дерматитов	0 дерматит NOUN masc inan plur gent
14325	самое	0 самый ADJF Apro neut sing nomn
14326	главное	0 главное NOUN neut inan sing nomn
14327	исключить	0 исключить INFN perf tran actv
14328	соприкосновение	0 соприкосновение NOUN neut inan sing accs
14329	с	0 с PREP
14330	источником	0 источник NOUN masc inan sing ablt
14331	аллергии	0 аллергия NOUN femn inan sing gent
14332	.	0 . PNCT
/sent
sent
14332	В	0 в PREP
14333	свободное	0 свободный ADJF neut sing accs inan
14334	время	0 время NOUN neut inan sing accs
14335	Владимир	0 Владимир NOUN masc anim sing nomn
14336	по-прежнему	0 по-прежнему ADVB
14337	увлекался	0 увлекаться VERB impf intr masc sing past indc
14338	музыкой	0 музыка NOUN femn inan sing ablt
14339	и	0 и CONJ
14340	даже	0 даже PRCL
14341	помогал	0 помогать VERB impf intr actv masc sing past indc
14342	своему	0 свой ADJF Apro masc sing datv
14343	другу	0 друг NOUN masc anim sing datv
14344	Руслану	0 Руслан NOUN masc anim sing datv
14345	Татаринцеву	0 Татаринцев NOUN masc anim sing datv
14346	отбирать	0 отбирать INFN impf tran actv
14347	участников	0 участник NOUN masc anim plur accs
14348	рок-н-ролльных	0 рок-н-ролльный ADJF plur gent
14349	фестивалей	0 фестиваль NOUN masc inan plur gent
14350	«	0 « PNCT
14350	Самый	0 самый ADJF Apro masc sing nomn
14351	плохой	0 плохой ADJF masc sing nomn
14352	»	0 » PNCT
14353	,	0 , PNCT
14354	проходивших	0 проходить PRTF impf tran plur gent actv past
14355	на	0 на PREP
14356	базе	0 база NOUN femn inan sing loct
14357	Дома	0 дом NOUN masc inan sing gent
14358	молодёжи	0 молодежь NOUN femn inan sing gent
14359	.	0 . PNCT
/sent
sent
14359	Но	0 но CONJ
14360	отчего-то	0 отчего-то ADVB Ques
14361	вспоминаются	0 вспоминаться VERB impf intr plur pres 3per indc
14362	ещё	0 еще ADVB
14363	два	0 два NUMR masc nomn
14364	персонажа	0 персонаж NOUN masc anim sing gent
14365	,	0 , PNCT
14365	которых	0 который ADJF Apro plur accs anim
14366	в	0 в PREP
14367	своё	0 свой ADJF Apro neut sing accs inan
14368	время	0 время NOUN neut inan sing accs
14369	«	0 « PNCT
14369	открыли	0 открыть VERB perf tran plur actv past indc
14370	»	0 » PNCT
14370	К	0 К UNKN
14371	&	0 & PNCT
14371	М	0 М UNKN
14372	.	0 . PNCT
14372	Один	0 один ADJF Apro masc sing nomn
14373	--	0 -- PNCT
14373	крепостной	0 крепостной ADJF masc sing nomn
14374	абстракционист	0 абстракционист NOUN masc anim sing nomn
14375	XVIII	0 XVIII ADJF Anum
14376	века	0 век NOUN masc inan sing gent
14377	Апеллес	0 Апеллес NOUN masc anim sing nomn
14378	Зяблов	0 Зяблов NOUN masc anim sing nomn
14379	.	0 . PNCT
/sent
sent
14379	Рис	0 рисунок NOUN masc inan sing nomn
14380	.	0 . PNCT
14380	7	0 7 NUMR
14381	.	0 . PNCT
/sent
sent
14381	В	0 в PREP
14382	своей	0 свой ADJF Apro femn sing loct
14383	книге	0 книга NOUN femn inan sing loct
14384	"	0 " PNCT
14384	Вспоминая	0 вспоминать GRND impf tran actv pres
14385	самых	0 самый ADJF Apro plur gent
14386	-	0 - PNCT
14386	самых	0 самый ADJF Apro plur gent
14387	"	0 " PNCT
14387	я	0 я ADJF Apro Subx sing 1per nomn
14388	рассказываю	0 рассказывать VERB impf tran actv sing pres 1per indc
14389	эту	0 этот ADJF Apro femn sing accs
14390	историю	0 история NOUN femn inan sing accs
14391	,	0 , PNCT
14391	как	0 как ADVB Ques
14392	через	0 через PREP
14393	музыку	0 музыка NOUN femn inan sing accs
14394	,	0 , PNCT
14394	кино	0 кино NOUN neut inan Fixd sing accs
14395	я	0 я ADJF Apro Subx sing 1per nomn
14396	попал	0 попасть VERB perf intr actv masc sing past indc
14397	в	0 в PREP
14398	шахматы	0 шахматы NOUN plur accs
14399	.	0 . PNCT
/sent
sent
14399	Концепция	0 концепция NOUN femn inan sing nomn
14400	определяет	0 определять VERB impf tran sing actv pres 3per indc
14401	субъекты	0 субъект NOUN masc inan plur accs
14402	приграничного	0 приграничный ADJF neut sing gent
14403	сотрудничества	0 сотрудничество NOUN neut inan sing gent
14404	,	0 , PNCT
14404	основные	0 основной ADJF plur accs inan
14405	его	0 его ADJF Apro
14406	принципы	0 принцип NOUN masc inan plur accs
14407	,	0 , PNCT
14407	вместе	0 вместе ADVB
14408	с	0 с PREP
14409	тем	0 то ADJF Apro Subx neut sing ablt
14410	,	0 , PNCT
14410	не	0 не PRCL
14411	формулирует	0 формулировать VERB impf tran sing actv pres 3per indc
14412	конкретные	0 конкретный ADJF plur accs inan
14413	политико-экономические	0 политико-экономический ADJF plur accs inan
14414	задачи	0 задача NOUN femn inan plur accs
14415	в	0 в PREP
14416	сопредельном	0 сопредельный ADJF neut sing loct
14417	пространстве	0 пространство NOUN neut inan sing loct
14418	.	0 . PNCT
/sent
sent
14418	Нулевой	0 нулевой ADJF masc sing nomn
14419	слой	0 слой NOUN masc inan sing nomn
14420	служит	0 служить VERB impf tran sing actv pres 3per indc
14421	для	0 для PREP
14422	хранения	0 хранение NOUN neut inan sing gent
14423	исходных	0 исходный ADJF plur gent
14424	атрибутов	0 атрибут NOUN masc inan plur gent
14425	решаемой	0 решать PRTF impf tran femn sing gent pssv pres
14426	задачи	0 задача NOUN femn inan sing gent
14427	(	0 ( PNCT
14427	исходные	0 исходный ADJF plur nomn
14428	данные	0 данные NOUN plur nomn
14429	,	0 , PNCT
14429	требуемый	0 требовать PRTF impf tran masc sing nomn pssv pres
14430	результат	0 результат NOUN masc inan sing nomn
14431	,	0 , PNCT
14431	требования	0 требование NOUN neut inan plur nomn
14432	к	0 к PREP
14433	результату	0 результат NOUN masc inan sing datv
14434	)	0 ) PNCT
14435	.	0 . PNCT
/sent
sent
14436	Это	0 это ADJF Apro Subx neut sing nomn
14437	было	0 быть VERB impf intr actv neut sing past indc
14438	,	0 , PNCT
14438	Наташка	0 Наташка NOUN femn anim sing nomn
14439	,	0 , PNCT
14439	два	0 два NUMR masc accs
14440	года	0 год NOUN masc inan sing gent
14441	назад	0 назад ADVB
14442	,	0 , PNCT
14442	но	0 но CONJ
14443	всё	0 всё ADJF Apro Subx neut sing nomn
14444	по	0 по PREP
14445	порядку	0 порядок NOUN masc inan sing datv
14446	.	0 . PNCT
/sent
sent
14446	Для	0 для PREP
14447	иностранных	0 иностранный ADJF plur gent
14448	граждан	0 гражданин NOUN masc anim plur gent
14449	она	0 она ADJF Apro Subx femn sing 3per nomn
14450	организует	0 организовать VERB impf tran sing actv pres 3per indc
14451	при	0 при PREP
14452	необходимости	0 необходимость NOUN femn inan sing loct
14453	медицинскую	0 медицинский ADJF femn sing accs
14454	эвакуацию	0 эвакуация NOUN femn inan sing accs
14455	к	0 к PREP
14456	постоянному	0 постоянный ADJF neut sing datv
14457	месту	0 место NOUN neut inan sing datv
14458	жительства	0 жительство NOUN neut inan sing gent
14459	за	0 за PREP
14460	границей	0 граница NOUN femn inan sing ablt
14461	.	0 . PNCT
/sent
sent
14461	В-третьих	0 в-третьих CONJ Prnt
14462	,	0 , PNCT
14462	на	0 на PREP
14463	качестве	0 качество NOUN neut inan sing loct
14464	боевого	0 боевой ADJF neut sing gent
14465	дежурства	0 дежурство NOUN neut inan sing gent
14466	сказываются	0 сказываться VERB impf intr plur pres 3per indc
14467	нынешнее	0 нынешний ADJF neut sing nomn
14468	социально-экономическое	0 социально-экономический ADJF neut sing nomn
14469	положение	0 положение NOUN neut inan sing nomn
14470	военнослужащих	0 военнослужащий NOUN masc anim plur gent
14471	,	0 , PNCT
14471	несущих	0 нести PRTF impf tran plur gent actv pres
14472	боевое	0 боевой ADJF neut sing accs inan
14473	дежурство	0 дежурство NOUN neut inan sing accs
14474	,	0 , PNCT
14474	падение	0 падение NOUN neut inan sing nomn
14475	престижности	0 престижность NOUN femn inan sing gent
14476	военной	0 военный ADJF femn sing gent
14477	службы	0 служба NOUN femn inan sing gent
14478	в	0 в PREP
14479	целом	0 целое NOUN neut inan sing loct
14480	и	0 и CONJ
14481	службы	0 служба NOUN femn inan sing gent
14482	,	0 , PNCT
14482	связанной	0 связать PRTF perf tran femn sing gent pssv past
14483	с	0 с PREP
14484	несением	0 несение NOUN neut inan sing ablt
14485	боевого	0 боевой ADJF neut sing gent
14486	дежурства	0 дежурство NOUN neut inan sing gent
14487	в	0 в PREP
14488	частности	0 частность NOUN femn inan sing loct
14489	.	0 . PNCT
/sent
sent
14489	Динамичные	0 динамичный ADJF plur nomn
14490	отечественные	0 отечественный ADJF plur nomn
14491	компании	0 компания NOUN femn inan plur nomn
14492	,	0 , PNCT
14492	стремящиеся	0 стремиться PRTF impf intr plur nomn pres
14493	расширять	0 расширять INFN impf tran actv
14494	свою	0 свой ADJF Apro femn sing accs
14495	деятельность	0 деятельность NOUN femn inan sing accs
14496	,	0 , PNCT
14496	с	0 с PREP
14497	помощью	0 помощь NOUN femn inan sing ablt
14498	ITSM	0 ITSM UNKN
14499	могут	0 мочь VERB impf intr actv plur pres 3per indc
14500	точнее	0 точно ADVB
14501	спланировать	0 спланировать INFN perf tran actv
14502	пропорции	0 пропорция NOUN femn inan plur accs
14503	наращивания	0 наращивание NOUN neut inan sing gent
14504	ИТ	0 ит NOUN femn inan plur nomn
14505	-	0 - PNCT
14505	ресурсов	0 ресурс NOUN masc inan plur gent
14506	.	0 . PNCT
/sent
sent
14506	При	0 при PREP
14507	этом	0 это ADJF Apro Subx neut sing loct
14508	,	0 , PNCT
14508	если	0 если CONJ
14509	AdjustClock	0 AdjustClock UNKN
14510	будет	0 быть VERB impf intr actv sing futr 3per indc
14511	несколько	0 несколько NUMR accs
14512	раз	0 раз NOUN masc inan plur gent
14513	вызвана	0 вызвать PRTS perf femn sing pssv past
14514	от	0 от PREP
14515	одних	0 один ADJF Apro plur gent
14516	и	0 и CONJ
14517	тех	0 тот ADJF Apro plur gent
14518	же	0 же PRCL
14519	часов	0 часы NOUN plur gent
14520	,	0 , PNCT
14520	то	0 то CONJ
14521	все	0 весь ADJF Apro plur nomn
14522	введённые	0 ввести PRTF perf tran plur nomn pssv past
14523	значения	0 значение NOUN neut inan plur nomn
14524	коррекции	0 коррекция NOUN femn inan sing gent
14525	суммируются	0 суммироваться VERB impf intr plur pres 3per indc
14526	.	0 . PNCT
/sent
sent
14526	Философ	0 философ NOUN masc anim sing nomn
14527	и	0 и CONJ
14528	график	0 график NOUN masc anim sing nomn
14529	,	0 , PNCT
14529	отступая	0 отступать GRND impf intr actv pres
14530	в	0 в PREP
14531	угол	0 угол NOUN masc inan sing accs
14532	комнаты	0 комната NOUN femn inan sing gent
14533	,	0 , PNCT
14533	тянут	0 тянуть VERB impf tran plur actv pres 3per indc
14534	оба	0 оба NUMR masc accs
14535	конца	0 конец NOUN masc inan sing gent
14536	подтяжек	0 подтяжка NOUN femn inan plur gent
14537	.	0 . PNCT
/sent
sent
14537	Они	0 они ADJF Apro Subx plur 3per nomn
14538	решили	0 решить VERB perf tran plur actv past indc
14539	,	0 , PNCT
14539	что	0 что CONJ
14540	это	0 это ADJF Apro Subx neut sing nomn
14541	такая	0 такой ADJF Apro femn sing nomn
14542	странная	0 странный ADJF femn sing nomn
14543	русская	0 русский ADJF femn sing nomn
14544	особенность	0 особенность NOUN femn inan sing nomn
14545	--	0 -- PNCT
14545	питаться	0 питаться INFN impf intr
14546	одними	0 один ADJF Apro plur ablt
14547	пельменями	0 пельмень NOUN masc inan plur ablt
14548	.	0 . PNCT
/sent
sent
14548	У	0 у PREP
14549	каждого	0 каждый ADJF Apro masc sing gent
14550	режиссёра	0 режиссер NOUN masc anim sing gent
14551	-	0 - PNCT
14551	педагога	0 педагог NOUN masc anim sing gent
14552	своя	0 свой ADJF Apro femn sing nomn
14553	методика	0 методика NOUN femn inan sing nomn
14554	,	0 , PNCT
14554	система	0 система NOUN femn inan sing nomn
14555	Станиславского	0 Станиславский NOUN masc anim sing gent
14556	здесь	0 здесь ADVB Ques
14557	не	0 не PRCL
14558	годится	0 годиться VERB impf intr sing pres 3per indc
14559	.	0 . PNCT
/sent
sent
14559	До	0 до PREP
14560	него	0 он ADJF Apro Subx masc sing 3per gent
14561	казахская	0 казахский ADJF femn sing nomn
14562	наркота	0 наркота NOUN femn inan sing nomn
14563	идёт	0 идти VERB impf intr actv sing pres 3per indc
14564	без	0 без PREP
14565	сбоёв	0 сбой NOUN masc inan plur gent
14566	.	0 . PNCT
/sent
sent
14566	Глобальная	0 глобальный ADJF femn sing nomn
14567	ликвидация	0 ликвидация NOUN femn inan sing nomn
14568	полиомиелита	0 полиомиелит NOUN masc inan sing gent
14569	.	0 . PNCT
/sent
sent
14569	Это	0 это ADJF Apro Subx neut sing nomn
14570	говорит	0 говорить VERB impf tran sing actv pres 3per indc
14571	о	0 о PREP
14572	том	0 то ADJF Apro Subx neut sing loct
14573	,	0 , PNCT
14573	что	0 что CONJ
14574	нижегородский	0 нижегородский ADJF masc sing nomn
14575	рынок	0 рынок NOUN masc inan sing nomn
14576	наполняется	0 наполняться VERB impf intr sing pres 3per indc
14577	местными	0 местный ADJF plur ablt
14578	представителями	0 представитель NOUN masc anim plur ablt
14579	иностранных	0 иностранный ADJF plur gent
14580	фирм	0 фирма NOUN femn inan plur gent
14581	либо	0 либо CONJ
14582	их	0 их ADJF Apro
14583	московских	0 московский ADJF plur gent
14584	дилеров	0 дилер NOUN masc anim plur gent
14585	.	0 . PNCT
/sent
sent
14585	Проще	0 просто ADVB
14586	говоря	0 говорить GRND impf tran actv pres
14587	--	0 -- PNCT
14587	отказывала	0 отказывать VERB impf intr actv femn sing past indc
14588	в	0 в PREP
14589	близости	0 близость NOUN femn inan sing loct
14590	жаждущим	0 жаждать PRTF impf intr actv plur datv pres
14591	наслаждения	0 наслаждение NOUN neut inan sing gent
14592	кавалерам	0 кавалер NOUN masc anim plur datv
14593	и	0 и CONJ
14594	пыталась	0 пытаться VERB impf intr femn sing past indc
14595	использовать	0 использовать INFN perf tran actv
14596	возможность	0 возможность NOUN femn inan sing accs
14597	выспаться	0 выспаться INFN perf intr
14598	в	0 в PREP
14599	человеческих	0 человеческий ADJF plur loct
14600	условиях	0 условие NOUN neut inan plur loct
14601	.	0 . PNCT
/sent
sent
14601	РИНС	0 ринс NOUN femn inan Fixd sing nomn
14602	,	0 , PNCT
14602	представляющая	0 представлять PRTF impf tran femn sing nomn actv pres
14603	собой	0 себя ADJF Apro Subx ablt
14604	трехслойную	0 трехслойный ADJF femn sing accs
14605	сеть	0 сеть NOUN femn inan sing accs
14606	,	0 , PNCT
14606	осуществляет	0 осуществлять VERB impf tran sing actv pres 3per indc
14607	обратный	0 обратный ADJF masc sing accs inan
14608	поиск	0 поиск NOUN masc inan sing accs
14609	решения	0 решение NOUN neut inan sing gent
14610	поставленной	0 поставить PRTF perf tran femn sing gent pssv past
14611	перед	0 перед PREP
14612	ней	0 она ADJF Apro Subx femn sing 3per ablt
14613	задачи	0 задача NOUN femn inan sing gent
14614	в	0 в PREP
14615	формализме	0 формализм NOUN masc inan sing loct
14616	Trk	0 Trk UNKN
14617	|	0 | PNCT
14617	ki	0 ki UNKN
14618	с	0 с PREP
14619	сохранением	0 сохранение NOUN neut inan sing ablt
14620	построенного	0 построить PRTF perf tran masc sing gent pssv past
14621	плана	0 план NOUN masc inan sing gent
14622	решения	0 решение NOUN neut inan sing gent
14623	задачи	0 задача NOUN femn inan sing gent
14624	в	0 в PREP
14625	АИНС	0 аинс NOUN femn inan Fixd sing loct
14626	.	0 . PNCT
/sent
sent
14626	Но	0 но CONJ
14627	уже	0 уже ADVB
14628	в	0 в PREP
14629	пятницу	0 пятница NOUN femn inan sing accs
14630	нефть	0 нефть NOUN femn inan sing nomn
14631	подорожала	0 подорожать VERB perf intr actv femn sing past indc
14632	после	0 после PREP
14633	сообщения	0 сообщение NOUN neut inan sing gent
14634	об	0 об PREP
14635	отказе	0 отказ NOUN masc inan sing loct
14636	Багдада	0 Багдад NOUN masc inan sing gent
14637	сотрудничать	0 сотрудничать INFN impf intr actv
14638	с	0 с PREP
14639	инспекторами	0 инспектор NOUN masc anim plur ablt
14640	ООН	0 ООН NOUN femn inan Fixd sing gent
14641	по	0 по PREP
14642	вооружению	0 вооружение NOUN neut inan sing datv
14643	.	0 . PNCT
/sent
sent
14643	Думаю	0 думать VERB impf intr actv sing pres 1per indc
14644	,	0 , PNCT
14644	что	0 что CONJ
14645	прелестных	0 прелестный ADJF plur gent
14646	"	0 " PNCT
14646	рыбацких	0 рыбацкий ADJF plur gent
14647	"	0 " PNCT
14647	стихотворений	0 стихотворение NOUN neut inan plur gent
14648	у	0 у PREP
14649	Бориса	0 Борис NOUN masc anim sing gent
14650	Васильевича	0 Васильевич NOUN masc anim sing gent
14651	наберётся	0 набраться VERB perf intr sing futr 3per indc
14652	более	0 много NUMR
14653	сотни	0 сотня NOUN femn inan sing gent
14654	!	0 ! PNCT
/sent
sent
14654	Врачи	0 врач NOUN masc anim plur nomn
14655	уже	0 уже ADVB
14656	не	0 не PRCL
14657	удивляются	0 удивляться VERB impf intr plur pres 3per indc
14658	,	0 , PNCT
14658	видя	0 видеть GRND impf tran actv pres
14659	,	0 , PNCT
14659	как	0 как CONJ
14660	некоторые	0 некоторый ADJF Apro plur nomn
14661	из	0 из PREP
14662	них	0 они ADJF Apro Subx plur 3per gent
14663	бегают	0 бегать VERB impf intr actv plur pres 3per indc
14664	трусцой	0 трусца NOUN femn inan sing ablt
14665	по	0 по PREP
14666	парку	0 парк NOUN masc inan sing datv
14667	возле	0 возле PREP
14668	института	0 институт NOUN masc inan sing gent
14669	,	0 , PNCT
14669	делают	0 делать VERB impf tran plur actv pres indc
14670	зарядку	0 зарядка NOUN femn inan sing accs
14671	,	0 , PNCT
14671	собираются	0 собираться VERB impf intr plur pres 3per indc
14672	в	0 в PREP
14673	турпоходы	0 турпоход NOUN masc inan plur accs
14674	.	0 . PNCT
/sent
sent
14674	Предположим	0 предположить VERB perf tran plur actv futr 1per indc
14675	,	0 , PNCT
14675	раньше	0 рано ADVB
14676	на	0 на PREP
14677	всю	0 весь ADJF Apro femn sing accs
14678	страну	0 страна NOUN femn inan sing accs
14679	было	0 быть VERB impf intr actv neut sing past indc
14680	несколько	0 несколько NUMR nomn
14681	ИПК	0 ипк NOUN masc inan plur gent
14682	химической	0 химический ADJF femn sing gent
14683	промышленности	0 промышленность NOUN femn inan sing gent
14684	.	0 . PNCT
/sent
sent
14684	Худшие	0 худший ADJF plur nomn
14685	показатели	0 показатель NOUN masc inan plur nomn
14686	:	0 : PNCT
14686	Fast	0 Fast UNKN
14687	Company	0 Company UNKN
14688	Продано	0 продать PRTS perf neut sing pssv past
14689	на	0 на PREP
14690	18	0 18 NUMR
14691	,	0 , PNCT
14691	4	0 4 NUMR
14692	%	0 % PNCT
14692	рекламных	0 рекламный ADJF plur gent
14693	страниц	0 страница NOUN femn inan plur gent
14694	меньше	0 мало NUMR
14695	--	0 -- PNCT
14695	805	0 805 NUMR
14696	,	0 , PNCT
14696	3	0 3 NUMR
14697	,	0 , PNCT
14697	тираж	0 тираж NOUN masc inan sing nomn
14698	--	0 -- PNCT
14698	734449	0 734449 NUMR
14699	,	0 , PNCT
14699	на	0 на PREP
14700	3	0 3 NUMR
14701	,	0 , PNCT
14701	7	0 7 NUMR
14702	%	0 % PNCT
14702	больше	0 много NUMR
14703	.	0 . PNCT
/sent
sent
14703	Фактическое	0 фактический ADJF neut sing nomn
14704	исполнение	0 исполнение NOUN neut inan sing nomn
14705	составило	0 составить VERB perf tran neut sing actv past indc
